student_id,faculty,attendance_rate,gpa_sem1,weekly_lms_hours,quiz_avg_score,late_assignments,is_at_risk
STD_0284,FISIP,78.2,3.19,33.5,84.4,1,0
STD_0285,FH,86.6,2.18,6.2,73.5,0,1
STD_0286,FISIP,76.8,2.65,12.0,63.5,1,0
STD_0287,FST,67.8,3.07,6.5,66.2,1,0
STD_0288,FTMM,77.6,3.37,7.5,100.0,1,0
STD_0289,FST,87.6,2.0,4.0,39.5,0,1
STD_0290,FST,77.9,3.02,40.0,70.5,0,0
STD_0291,FEB,84.7,3.17,16.1,74.9,0,0
STD_0292,FH,86.3,3.52,16.3,91.3,0,0
STD_0293,FTMM,82.1,3.45,11.2,81.8,1,0
STD_0294,FISIP,88.7,3.39,8.9,73.8,0,0
STD_0295,FEB,84.2,2.7,6.4,56.4,0,0
STD_0296,FH,78.7,2.15,6.3,50.2,2,1
STD_0297,FTMM,95.1,2.9,8.6,60.0,1,0
STD_0298,FST,54.2,3.6,15.7,82.4,1,0
STD_0299,FH,68.0,3.8,12.2,81.4,3,0
STD_0300,FH,85.9,3.46,7.4,67.2,0,0
STD_0301,FH,96.1,3.31,6.7,86.3,0,0
STD_0302,FST,73.0,3.29,7.2,71.8,3,0
STD_0303,FISIP,79.8,2.82,8.8,56.3,3,1
STD_0304,FEB,64.2,3.03,22.3,69.4,8,1
STD_0305,FISIP,87.7,3.93,14.0,89.2,0,0
STD_0306,FTMM,89.5,2.63,15.0,48.6,1,0
STD_0307,FEB,86.3,3.91,11.6,90.8,1,0
STD_0308,FTMM,81.9,2.94,8.6,60.4,1,0
STD_0309,FST,91.6,3.76,8.2,98.9,0,0
STD_0310,FISIP,81.7,2.4,17.3,62.1,2,1
STD_0311,FH,81.9,3.39,16.0,74.7,1,0
STD_0312,FEB,80.1,2.73,6.6,58.7,0,0
STD_0313,FH,82.2,2.39,9.1,57.0,0,0
STD_0314,FTMM,70.1,3.21,10.4,79.1,3,1
STD_0315,FH,67.2,3.6,13.1,81.9,3,0
STD_0316,FH,55.6,2.68,22.9,61.8,4,1
STD_0317,FST,64.0,2.35,9.9,57.5,7,1
STD_0318,FST,81.5,3.05,10.8,66.3,0,0
STD_0319,FISIP,80.9,3.06,6.4,68.4,1,0
STD_0320,FTMM,53.1,3.37,7.1,60.8,5,1
STD_0321,FST,64.8,3.57,8.4,89.3,4,0
STD_0322,FST,68.1,3.07,6.3,73.8,5,1
STD_0323,FISIP,72.2,4.0,16.2,83.8,2,0
STD_0324,FEB,61.4,3.21,14.1,89.4,2,0
STD_0325,FISIP,68.0,2.93,6.7,69.2,5,0
STD_0326,FH,75.2,2.29,15.4,47.6,1,0
STD_0327,FH,88.2,2.97,6.9,76.2,0,0
STD_0328,FST,58.9,2.93,8.0,71.8,5,1
STD_0329,FST,82.9,3.58,8.9,84.8,0,0
STD_0330,FISIP,44.1,3.33,9.5,73.2,3,1
STD_0331,FISIP,74.6,2.51,6.8,63.8,2,1
STD_0332,FTMM,93.0,3.19,10.4,71.6,2,0
STD_0333,FH,43.9,3.44,10.0,83.2,4,0
STD_0334,FISIP,74.3,3.86,33.6,72.0,4,0
STD_0335,FEB,89.5,3.54,7.4,77.4,0,0
STD_0336,FTMM,89.7,3.48,7.9,93.4,0,0
STD_0337,FISIP,57.1,3.13,6.6,66.5,1,1
STD_0338,FST,83.0,3.29,12.5,71.1,0,0
STD_0339,FISIP,77.2,3.72,7.8,80.9,1,0
STD_0340,FST,62.2,2.43,15.7,49.0,4,1
STD_0341,FST,63.8,2.93,10.2,50.8,3,1
STD_0342,FH,73.9,2.71,9.9,62.4,6,1
STD_0343,FH,84.1,3.29,11.5,76.9,1,1
STD_0344,FISIP,81.0,3.72,8.6,83.9,2,0
STD_0345,FISIP,60.6,2.8,6.9,64.9,3,1
STD_0346,FEB,43.1,1.9,6.1,48.4,1,1
STD_0347,FTMM,78.9,2.89,11.2,76.1,0,1
STD_0348,FTMM,82.0,3.56,8.5,79.6,2,0
STD_0349,FISIP,92.2,3.37,7.5,72.8,1,0
STD_0350,FH,50.0,3.31,27.7,74.0,1,0
STD_0351,FEB,63.3,2.96,6.1,73.8,4,1
STD_0352,FTMM,88.7,2.46,14.7,70.5,0,0
STD_0353,FISIP,88.7,3.36,16.0,72.1,3,0
STD_0354,FH,95.3,2.68,7.5,64.4,1,0
STD_0355,FH,55.4,4.0,8.9,92.7,2,0
STD_0356,FH,84.1,3.39,7.7,69.8,0,0
STD_0357,FST,82.3,2.81,12.8,66.4,2,1
STD_0358,FH,94.3,2.79,11.8,54.2,1,0
STD_0359,FISIP,56.4,3.05,15.3,56.9,5,1
STD_0360,FEB,76.6,2.98,22.6,72.5,1,0
STD_0361,FISIP,84.7,3.66,14.4,80.1,1,0
STD_0362,FH,84.7,3.19,7.4,75.5,0,0
STD_0363,FEB,72.8,2.73,7.1,64.5,4,1
STD_0364,FTMM,91.1,4.0,19.1,82.2,0,0
STD_0365,FTMM,55.1,3.12,7.7,72.1,5,1
STD_0366,FISIP,51.1,3.48,7.4,69.8,6,1
STD_0367,FEB,81.7,2.8,12.9,77.0,0,0
STD_0368,FISIP,77.7,3.28,9.7,64.8,0,0
STD_0369,FEB,87.8,3.26,21.7,73.5,1,0
STD_0370,FEB,80.3,2.16,10.6,44.8,2,1
STD_0371,FISIP,69.0,4.0,8.6,94.6,4,0
STD_0372,FEB,93.3,3.75,25.2,82.3,4,0
STD_0373,FH,78.4,2.9,7.6,63.9,2,1
STD_0374,FEB,73.6,2.55,7.6,67.8,6,1
STD_0375,FEB,97.2,3.27,9.6,75.7,1,0
STD_0376,FISIP,60.9,3.14,6.6,77.0,5,1
STD_0377,FTMM,76.7,3.28,10.7,67.7,0,0
STD_0378,FST,85.4,3.2,7.2,62.7,0,0
STD_0379,FEB,75.9,3.35,9.8,77.9,2,0
STD_0380,FST,67.5,3.82,10.2,83.9,3,1
STD_0381,FEB,88.6,3.38,15.7,82.7,1,0
STD_0382,FISIP,71.2,2.58,14.9,60.9,3,1
STD_0383,FISIP,89.6,3.78,8.6,87.3,0,0
STD_0384,FEB,65.0,3.92,10.6,75.4,7,1
STD_0385,FISIP,82.4,4.0,10.8,100.0,3,0
STD_0386,FISIP,68.9,2.54,6.1,59.5,2,1
STD_0387,FEB,84.4,3.22,16.1,80.0,1,0
STD_0388,FTMM,91.2,2.06,11.5,44.5,0,0
STD_0389,FEB,77.8,3.38,8.0,80.0,0,0
STD_0390,FTMM,78.3,2.83,8.4,56.1,0,0
STD_0391,FISIP,46.6,4.0,8.7,93.6,3,1
STD_0392,FTMM,56.8,2.71,11.4,61.4,2,0
STD_0393,FISIP,83.2,2.26,5.3,55.3,2,1
STD_0394,FTMM,80.4,2.86,31.3,72.9,1,0
STD_0395,FTMM,93.9,2.11,13.3,42.4,3,1
STD_0396,FEB,87.3,3.48,9.9,74.0,3,0
STD_0397,FTMM,68.7,2.07,9.3,55.0,9,1
STD_0398,FISIP,72.4,3.11,20.8,89.1,6,1
STD_0399,FEB,79.2,2.06,9.0,50.1,0,1
STD_0400,FTMM,72.2,2.94,7.0,73.5,0,0
STD_0401,FEB,93.5,3.92,10.7,87.6,0,0
STD_0402,FST,67.4,3.28,17.7,91.1,4,0
STD_0403,FEB,86.7,2.67,11.5,49.4,1,1
STD_0404,FST,87.9,3.08,12.5,72.4,0,0
STD_0405,FST,66.5,3.11,18.3,59.2,7,1
STD_0406,FEB,66.3,3.34,20.1,56.7,4,0
STD_0407,FISIP,78.3,2.42,20.0,60.7,0,0
STD_0408,FISIP,75.7,3.4,7.4,79.0,1,0
STD_0409,FISIP,82.1,1.75,8.2,42.7,0,1
STD_0410,FH,63.2,2.79,13.7,64.9,7,1
STD_0411,FST,57.2,2.86,14.2,91.9,1,1
STD_0412,FEB,77.1,3.42,12.4,76.3,1,1
STD_0413,FISIP,84.8,3.11,7.3,76.3,0,0
STD_0414,FISIP,83.7,2.4,14.4,52.7,1,1
STD_0415,FEB,73.8,2.61,12.9,64.5,3,1
STD_0416,FST,49.0,3.2,6.9,72.1,5,1
STD_0417,FEB,67.4,3.06,9.9,67.9,2,1
STD_0418,FH,86.1,2.81,6.8,80.8,0,0
STD_0419,FH,91.7,2.86,8.2,76.6,0,0
STD_0420,FEB,52.6,3.45,7.0,80.1,5,1
STD_0421,FST,93.1,2.84,8.8,48.4,1,1
STD_0422,FISIP,89.2,3.06,10.9,68.2,0,0
STD_0423,FH,90.9,4.0,13.8,100.0,0,0
STD_0424,FH,77.5,2.39,11.3,55.9,2,1
STD_0425,FST,79.8,2.17,15.2,62.3,2,1
STD_0426,FH,91.0,3.49,8.4,91.4,1,0
STD_0427,FH,70.9,2.76,6.3,67.0,4,1
STD_0428,FST,94.2,2.94,17.3,62.1,5,1
STD_0429,FEB,79.8,2.71,6.4,44.7,0,1
STD_0430,FISIP,90.6,2.97,28.0,74.9,1,0
STD_0431,FISIP,90.1,3.9,18.9,81.5,1,0
STD_0432,FH,45.0,3.5,11.2,81.4,2,0
STD_0433,FISIP,86.1,3.53,31.0,70.6,0,0
STD_0434,FEB,73.0,2.39,5.4,55.7,3,1
STD_0435,FH,58.0,2.52,7.2,60.8,2,1
STD_0436,FISIP,76.7,1.68,9.5,45.8,1,1
STD_0437,FTMM,92.5,2.7,8.0,55.0,2,1
STD_0438,FTMM,73.5,3.58,23.0,91.1,6,0
STD_0439,FTMM,87.1,3.36,7.1,72.4,0,0
STD_0440,FTMM,81.6,2.99,10.8,56.4,2,0
STD_0441,FTMM,63.4,3.09,11.5,70.9,3,1
STD_0442,FH,98.6,2.76,11.9,65.4,2,0
STD_0443,FST,84.0,3.2,8.2,75.3,1,0
STD_0444,FST,95.8,3.48,9.7,90.6,2,0
STD_0445,FH,64.9,2.29,15.7,53.9,4,1
STD_0446,FH,62.6,3.25,7.8,74.0,3,0
STD_0447,FEB,88.1,3.57,17.7,72.5,0,0
STD_0448,FST,87.7,2.89,10.7,74.4,0,0
STD_0449,FTMM,78.2,3.45,15.5,80.5,2,0
STD_0450,FH,90.1,4.0,15.5,86.6,2,0
STD_0451,FTMM,71.5,3.05,7.5,55.7,3,1
STD_0452,FST,58.4,3.3,11.6,87.5,6,1
STD_0453,FISIP,59.9,2.73,17.6,54.8,2,1
STD_0454,FISIP,86.0,3.19,9.8,69.1,0,0
STD_0455,FH,59.4,3.33,27.1,79.5,4,0
STD_0456,FEB,94.4,3.2,10.0,64.4,0,0
STD_0457,FTMM,85.5,2.59,6.1,49.9,1,0
STD_0458,FH,89.5,3.2,9.4,57.1,2,0
STD_0459,FEB,94.4,3.83,25.8,92.4,0,0
STD_0460,FTMM,78.6,3.32,9.0,72.1,1,0
STD_0461,FST,69.3,3.58,19.3,100.0,5,0
STD_0462,FISIP,60.3,2.98,18.7,61.7,0,1
STD_0463,FEB,83.0,3.47,9.5,72.1,1,0
